epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1105.86,0.25053,0.63503,0.81296,0.96452,0.9727,0.98754,0.98702,inf,0.18131,0.75435,0.0033332,0.0033332,0.0033332
2,2165.56,0.14634,0.23997,0.75915,0.93745,0.95614,0.98046,0.93879,0.3044,0.32989,0.81263,0.00600654,0.00600654,0.00600654
3,3205.98,0.11979,0.19811,0.75371,0.78246,0.58403,0.78578,0.44197,1.48711,1.81084,1.56327,0.00801989,0.00801989,0.00801989
4,4231.73,0.09874,0.17174,0.75163,0.31884,0.69759,0.5394,0.24746,1.85935,3.21022,1.92767,0.00703,0.00703,0.00703
5,5255.66,0.08331,0.15102,0.75061,0.80863,0.74493,0.86788,0.54765,1.40522,1.40908,1.55654,0.00604,0.00604,0.00604
6,6276.29,0.07492,0.13772,0.75023,0.94569,0.96044,0.98268,0.88595,0.51688,0.51603,0.98393,0.00505,0.00505,0.00505
7,7302.17,0.06691,0.12308,0.749,0.96663,0.97382,0.98842,0.98756,inf,0.18508,0.77483,0.00406,0.00406,0.00406
8,8308.52,0.05985,0.11199,0.74937,0.96946,0.97796,0.98929,0.98907,inf,0.10611,0.74463,0.00307,0.00307,0.00307
9,9335.33,0.05169,0.09865,0.74953,0.97074,0.97818,0.98948,0.98928,inf,0.08251,0.73846,0.00208,0.00208,0.00208
10,10336.9,inf,0.08394,0.74936,0.97092,0.98029,0.98964,0.98957,inf,0.06909,0.73653,0.00109,0.00109,0.00109
